timestamp,device,session_id,seq,true_dist_m,angle_deg,distance_m,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,nlos_suspect,anchor_id,error_m,ampl1_ratio,cir_norm,ampl_spread
2026-02-19T22:51:42.901,T1,20260219_225121,280,1.0,0.0,2.678,-79.1,-96.6,-17.5,125.43,44,3494,5519,7914,10719,1420,True,1,1.678,0.5202114196382044,7.548591549295774,2395
2026-02-19T22:51:45.897,T1,20260219_225121,286,1.0,0.0,2.866,-70.5,-88.5,-18.0,424.12,40,13954,16965,12208,18080,1367,True,1,1.866,0.9566379871799267,13.226042428675933,4757
2026-02-19T22:51:47.456,T1,20260219_225121,289,1.0,0.0,3.058,-69.7,-85.0,-15.4,362.77,48,12722,17413,12713,13816,1163,True,1,2.058,0.8445860718316405,11.879621668099743,4700
2026-02-19T22:51:47.936,T1,20260219_225121,290,1.0,0.0,2.969,-71.6,-88.1,-16.5,445.6,40,14548,17824,12174,16509,1358,True,1,1.969,0.9699313287552503,12.156848306332842,5650
2026-02-19T22:51:48.416,T1,20260219_225121,291,1.0,0.0,2.927,-69.4,-84.7,-15.4,345.73,48,15499,16595,11259,14177,1165,True,1,1.927,1.112874272994902,12.169098712446353,5336
2026-02-19T22:51:48.896,T1,20260219_225121,292,1.0,0.0,3.368,-74.0,-91.4,-17.4,262.18,44,10984,11536,7441,13556,1337,True,1,2.368,1.1576118459187437,10.139117427075542,4095
2026-02-19T22:51:55.436,T1,20260219_225121,305,1.0,0.0,2.753,-74.8,-91.4,-16.6,291.11,44,5977,12809,10460,12745,1334,True,1,1.753,0.5137307146847737,9.553973013493254,2349
2026-02-19T22:51:55.916,T1,20260219_225121,306,1.0,0.0,3.175,-72.4,-87.8,-15.4,366.77,48,10774,17605,13161,13267,1252,True,1,2.175,0.7003835402717286,10.59664536741214,4444
2026-02-19T22:51:57.476,T1,20260219_225121,309,1.0,0.0,2.894,-71.2,-86.0,-14.8,363.33,48,16882,17440,12553,15825,1312,True,1,1.894,1.1257293368452639,12.06173780487805,4887
2026-02-19T22:51:59.456,T1,20260219_225121,313,1.0,0.0,2.838,-72.7,-88.2,-15.5,411.55,40,8585,16462,14002,12440,1226,True,1,1.838,0.5636160714285714,10.146818923327896,2460
2026-02-19T22:51:59.936,T1,20260219_225121,314,1.0,0.0,2.955,-71.2,-89.3,-18.0,358.8,40,9578,14352,13296,15382,1295,True,1,1.955,0.6928530092592593,11.877992277992279,1056
2026-02-19T22:52:01.436,T1,20260219_225121,317,1.0,0.0,2.955,-69.9,-88.6,-18.7,335.7,40,9292,13428,12672,13000,1138,True,1,1.955,0.7120306513409962,11.423550087873462,756
2026-02-19T22:52:01.977,T1,20260219_225121,318,1.0,0.0,3.569,-80.6,-91.6,-11.0,187.25,12,1532,2247,2022,333,263,True,1,2.569,0.7177324900445069,1.2661596958174905,225
