
sample,millis,distance_m,round_trip_ticks,reply_delay_ticks,tof_ticks,rx_power_dBm,fp_power_dBm,quality,temp_C,pressure_hPa
108,56993,157.9052,360763171,360695838,33666,-65.72,-102.34,21.38,25.37,1005.5
109,57062,157.5346,365854828,365787654,33587,-65.55,-100.06,52.54,25.37,1005.5
110,57132,158.0130,374477266,374409887,33689,-66.03,-100.88,11.37,25.37,1005.5
111,57200,157.9990,358433056,358365684,33686,-65.07,-98.52,13.83,25.37,1005.5
112,57269,157.5440,365880326,365813147,33589,-66.05,-103.24,23.55,25.37,1005.5
113,57338,157.7785,361962959,361895681,33639,-67.24,-100.22,58.74,25.37,1005.5
114,57407,157.1594,359790325,359723310,33507,-66.45,-106.25,25.54,25.37,1005.5
115,57476,157.3376,359596718,359529628,33545,-66.09,-99.65,37.67,25.37,1005.5
116,57545,157.6894,359568046,359500805,33620,-65.36,-97.48,69.26,25.37,1005.5
117,57614,157.8582,361845889,361778577,33656,-66.07,-103.18,46.13,25.37,1005.5
118,57683,157.8676,359556135,359488818,33658,-65.92,-98.58,47.45,25.37,1005.5
119,57751,157.2673,369614589,369547529,33530,-65.46,-105.28,29.70,25.37,1005.5
120,57820,157.7879,357295899,357228616,33641,-65.96,-101.70,44.56,25.37,1005.5
121,57889,157.8911,370679029,370611702,33663,-65.86,-99.93,43.51,25.37,1005.5
122,57958,157.1078,372441606,372374613,33496,-66.52,-104.49,12.34,25.37,1005.5
123,58027,157.9005,363123315,363055985,33665,-65.94,-100.73,29.10,25.37,1005.5
124,58096,157.5674,371944501,371877312,33594,-63.50,-105.54,20.15,25.37,1005.5
125,58182,157.7035,372118574,372051327,33623,-64.10,-96.81,69.46,25.40,1005.5
126,58251,157.7457,361951010,361883745,33632,-65.62,-97.09,58.18,25.40,1005.5
127,58320,157.3470,366301451,366234356,33547,-66.40,-99.01,51.65,25.40,1005.5
128,58389,157.5065,363789642,363722479,33581,-64.34,-102.53,38.28,25.40,1005.5
129,58458,157.3095,373224757,373157679,33539,-65.64,-106.48,33.46,25.40,1005.5
130,58527,157.9098,373107716,373040381,33667,-66.33,-100.88,49.02,25.40,1005.5
131,58596,157.1359,369116508,369049503,33502,-86.70,-100.88,62.81,25.40,1005.5
132,58665,158.2944,374335093,374267594,33749,-64.36,-98.45,11.84,25.40,1005.5
133,58734,157.4361,361497644,361430512,33566,-66.11,-103.20,30.60,25.40,1005.5
134,58803,157.2860,365799585,365732517,33534,-64.84,-100.35,39.24,25.40,1005.5
135,58872,157.3189,362510091,362443009,33541,-64.68,-98.64,53.97,25.40,1005.5
136,58941,157.6941,370698204,370630962,33621,-64.75,-100.05,49.85,25.40,1005.5
137,59010,157.7316,364164177,364096918,33629,-64.73,-99.16,55.56,25.40,1005.5
138,59079,157.9005,371683552,371616221,33665,-64.21,-99.42,59.05,25.40,1005.5
139,59148,157.8113,370006299,369939007,33646,-64.86,-97.44,74.90,25.40,1005.5
140,59217,157.8020,362937272,362869984,33644,-65.60,-97.94,51.27,25.40,1005.5
141,59286,157.7410,370985571,370918308,33631,-64.50,-97.88,62.05,25.40,1005.5
142,59355,157.4174,364977340,364910216,33562,-64.36,-99.31,51.41,25.40,1005.5
143,59424,157.3611,362625382,362558281,33550,-65.53,-101.63,47.47,25.40,1005.5
144,59493,157.2016,373515290,373448257,33516,-65.43,-104.16,33.31,25.40,1005.5
145,59562,157.2626,361711872,361644813,33529,-66.11,-100.27,68.50,25.40,1005.5
146,59631,157.3658,366078484,366011381,33551,-65.17,-96.80,82.95,25.40,1005.5
147,59700,157.2860,371552951,371485883,33534,-64.30,-101.79,39.35,25.40,1005.5
148,59769,157.2251,363458403,363391360,33521,-63.35,-101.87,32.05,25.40,1005.5
149,59838,157.1875,370110029,370043003,33513,-65.64,-101.47,25.00,25.40,1005.5
150,59924,157.4455,365966177,365899041,33568,-65.40,-98.18,58.66,25.39,1005.5
151,59993,157.2954,358639483,358572410,33536,-89.83,-98.31,61.98,25.39,1005.5
152,60061,157.2157,359087660,359020621,33519,-65.50,-109.20,20.07,25.39,1005.5
153,60129,157.2251,357939375,357872333,33521,-89.36,-102.03,33.60,25.39,1005.5
154,60197,157.4408,371546555,371479421,33567,-67.23,-101.28,41.69,25.39,1005.5
155,60266,157.3189,371457702,371390620,33541,-65.63,-102.98,27.81,25.39,1005.5
156,60335,157.9192,369157128,369089789,33669,-66.06,-103.60,25.79,25.39,1005.5
157,60404,157.3939,366616789,366549674,33557,-65.77,-102.14,41.83,25.39,1005.5
158,60473,157.2344,367252416,367185369,33523,-65.51,-110.14,17.43,25.39,1005.5
159,60542,157.6284,365225695,365158480,33607,-65.73,-106.15,10.59,25.39,1005.5
160,60611,157.2391,368374317,368307268,33524,-65.42,-105.83,24.61,25.39,1005.5
161,60680,157.6613,367293963,367226735,33614,-65.49,-105.68,18.87,25.39,1005.5
162,60749,157.2720,364327596,364260533,33531,-65.49,-107.45,18.34,25.39,1005.5
163,60818,157.4689,365194774,365127627,33573,-64.78,-106.93,24.27,25.39,1005.5
164,60887,157.9896,364013516,363946147,33684,-65.38,-103.00,41.93,25.39,1005.5
165,60956,157.4127,365312179,365245056,33561,-64.53,-106.46,18.27,25.39,1005.5
166,61025,158.0740,366448788,366381384,33702,-63.74,-101.62,41.71,25.39,1005.5
167,61094,157.7175,365405711,365338458,33626,-65.82,-101.60,13.04,25.39,1005.5
168,61163,158.1209,364765518,364698094,33712,-65.12,-108.31,17.77,25.39,1005.5
169,61231,157.2485,362757512,362690459,33526,-64.60,-107.98,21.41,25.39,1005.5
170,61300,158.0224,363317105,363249722,33691,-66.49,-103.21,37.28,25.39,1005.5
171,61369,157.2673,362663033,362595973,33530,-65.15,-107.12,17.88,25.39,1005.5
172,61438,157.3611,363825684,363758584,33550,-65.52,-106.23,27.28,25.39,1005.5
173,61507,158.2429,363564593,363497117,33738,-65.59,-102.20,8.87,25.39,1005.5
174,61576,158.0506,363739551,363672157,33697,-64.95,-101.65,4.07,25.39,1005.5
175,61662,158.0787,363423526,363356120,33703,-65.64,-100.99,13.22,25.39,1005.5
176,61730,157.3611,359573258,359506157,33550,-65.08,-106.70,19.78,25.39,1005.5
177,61799,157.3235,360983242,360916158,33542,-67.29,-108.21,15.28,25.39,1005.5
178,61868,158.1819,360159012,360091562,33725,-65.39,-99.19,10.13,25.39,1005.5
179,61937,158.1678,359692535,359625091,33722,-64.73,-97.08,13.53,25.39,1005.5
180,62006,158.1115,359127216,359059795,33710,-64.63,-98.36,10.07,25.39,1005.5
181,62075,158.1537,358918255,358850816,33719,-65.07,-98.67,4.90,25.39,1005.5
182,62144,158.0506,361211917,361144523,33697,-65.73,-102.71,17.20,25.39,1005.5
183,62213,158.0928,360736772,360669360,33706,-65.01,-104.19,30.70,25.39,1005.5
184,62282,158.1209,361217519,361150095,33712,-64.66,-101.08,8.39,25.39,1005.5
185,62351,158.0646,360008089,359940688,33700,-66.20,-103.26,18.96,25.39,1005.5
186,62420,158.1162,360833980,360766557,33711,-64.76,-102.79,19.54,25.39,1005.5
187,62489,158.0975,361463194,361395779,33707,-64.90,-104.19,39.93,25.39,1005.5
188,62558,158.0271,360925035,360857650,33692,-66.15,-104.16,24.67,25.39,1005.5
189,62627,158.0459,360875393,360808000,33696,-65.27,-103.04,38.59,25.39,1005.5
190,62696,158.0412,359309216,359241825,33695,-65.78,-101.67,17.57,25.39,1005.5
191,62765,158.0552,361596868,361529472,33698,-65.13,-103.64,39.50,25.39,1005.5
192,62833,158.0693,370828616,370761213,33701,-64.94,-104.66,27.76,25.39,1005.5
193,62902,158.1209,358629181,358561756,33712,-65.54,-102.14,13.07,25.39,1005.5
194,62971,157.7644,372508345,372441072,33636,-66.65,-111.10,18.31,25.39,1005.5
195,63041,157.8442,374013811,373946504,33653,-66.09,-99.33,16.62,25.39,1005.5
196,63109,157.3845,371428038,371360928,33555,-65.63,-107.31,22.35,25.39,1005.5
197,63178,157.4033,368725185,368658067,33559,-68.82,-104.43,20.46,25.39,1005.5
198,63247,157.4549,371723001,371655860,33570,-65.92,-102.66,24.85,25.39,1005.5
199,63316,157.7269,368804613,368737356,33628,-65.63,-105.21,21.75,25.39,1005.5
200,63402,157.9192,357586294,357518956,33669,-66.51,-99.06,17.21,25.40,1005.5
201,63470,158.0365,371205910,371138521,33694,-64.69,-101.36,45.73,25.40,1005.5
202,63539,157.9521,367627543,367560190,33676,-65.55,-100.99,22.41,25.40,1005.5
203,63608,157.8582,368778054,368710741,33656,-65.36,-100.33,15.53,25.40,1005.5
204,63677,158.0083,368442268,368374892,33688,-65.52,-100.87,20.71,25.40,1005.5
205,63746,158.0083,368323042,368255666,33688,-65.26,-102.67,41.32,25.40,1005.5
206,63815,158.0459,369138219,369070826,33696,-64.71,-100.38,12.90,25.40,1005.5
207,63884,158.0036,369938535,369871160,33687,-64.74,-100.30,19.74,25.40,1005.5
